¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Î(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.564726
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.547933
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.532476
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.518344
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.505527
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.494014
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.483797
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.474869
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.46722
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.460848
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.455746
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.451911
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.358118
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.356827
(332.58, 7.48, 362.03) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 8.356782
(332.58, 7.48, 362.03) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 8.357985
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.289552
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.503334
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.733232
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.981012
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.248866
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.539255
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.861048
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.217045
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.608076
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.021777
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.478766
(332.58, 7.48, 362.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.986096
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.16041
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.1358
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.11281
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.09144
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.644783
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.05344
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.03679
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.02169
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.00812
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.996085
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.985565
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.976554
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.969046
(332.58, 7.48, 362.03) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 8.568707
