¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
š(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.03836
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.238898
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.451519
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.67499
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.921054
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.189081
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.475114
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.789973
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.135162
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.513684
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.930427
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.397168
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.898324
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.44297
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.9847
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.64587
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.5753
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.8386
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.45776
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.06734
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.02535
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.77178
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.675386
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.847379
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.032277
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.232378
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.444384
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.667326
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.912464
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.179789
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.465037
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.778719
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.122853
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.500178
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.91551
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.381781
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.880586
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.43102
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.97176
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.63713
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.56592
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.81709
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.40932
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.00965
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.94603
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.64113
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.67022
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.84187
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.0263
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.225973
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.437401
œ(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.659825
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.904029
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.170673
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.455156
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.767667
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.110768
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.486917
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.900887
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.366722
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.863122
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.41967
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.9591
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.62903
(419.31, 13.95, 317.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.55622
