¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ê(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.1252
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04787
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.12483
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.39806
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.92633
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.79449
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.20201
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.42865
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.00098
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.4253
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.96111
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.72675
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.69299
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.274307
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.505651
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.756847
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.029313
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.327614
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.658228
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.022927
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.425411
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.871987
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.370187
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.930771
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.56248
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.29024
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99098
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.05801
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.31852
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.83009
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.67572
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.15759
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.3786
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.17218
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.67896
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.42249
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.22021
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.258565
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.488682
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.738469
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.009345
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.306234
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.63485
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.997181
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.396924
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.840313
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.334754
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.891107
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.5175
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.24015
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93422
â(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.99143
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.23932
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.73433
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.55767
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.11451
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.33006
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.40844
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.12767
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.88269
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.69248
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.24286
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.47175
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.720133
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.989429
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.284894
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.611512
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.971489
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.368506
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.808726
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.299436
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.851585
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.4727
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.19025
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.01421
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92504
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.16043
(443.56, 14.13, 269.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.63906
