¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
à(399.34, 14.08, 244.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.27142
(399.34, 14.08, 244.75) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.58877
(399.34, 14.08, 244.75) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.28406
(399.34, 14.08, 244.75) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.18984
(399.34, 14.08, 244.75) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.20037
(399.34, 14.08, 244.75) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.7455
(399.34, 14.08, 244.75) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.2847
(399.34, 14.08, 244.75) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.28684
(399.34, 14.08, 244.75) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.29082
(399.34, 14.08, 244.75) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.29869
(399.34, 14.08, 244.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.910575
(399.34, 14.08, 244.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.100832
(399.34, 14.08, 244.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.304739
(399.34, 14.08, 244.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.523708
(399.34, 14.08, 244.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.759535
(399.34, 14.08, 244.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.014122
(399.34, 14.08, 244.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.289766
(399.34, 14.08, 244.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.589153
