¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Â(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.984247
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.464138
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.999755
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60131
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28167
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05724
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92309
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90062
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.07417
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.8179
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.5075
(415.98, 14.51, 246.23) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 16.91841
(415.98, 14.51, 246.23) (379.50, 7.54, 246.41) (1.49, 1.29, 1.47) Tools 19.86299
(415.98, 14.51, 246.23) (379.50, 7.54, 246.41) (1.49, 1.29, 1.47) Tools 19.84127
(415.98, 14.51, 246.23) (379.50, 7.54, 246.41) (1.49, 1.29, 1.47) Tools 19.82255
(415.98, 14.51, 246.23) (379.50, 7.54, 246.41) (1.49, 1.29, 1.47) Tools 19.80682
(415.98, 14.51, 246.23) (379.50, 7.54, 246.41) (1.49, 1.29, 1.47) Tools 19.79407
(415.98, 14.51, 246.23) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 17.08951
(415.98, 14.51, 246.23) (379.50, 8.79, 246.41) (1.49, 1.29, 1.47) Tools 19.77746
(415.98, 14.51, 246.23) (379.50, 8.79, 246.41) (1.49, 1.29, 1.47) Tools 19.77359
(415.98, 14.51, 246.23) (379.50, 8.79, 246.41) (1.49, 1.29, 1.47) Tools 19.77267
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.569102
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.755978
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.95675
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.173307
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.411376
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.672674
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.957259
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.268332
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.605929
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.530644
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.960732
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.437978
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.970478
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56829
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24419
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01438
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86711
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8358
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00631
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.77633
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.55602
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.66792
(415.98, 14.51, 246.23) (379.50, 7.54, 246.41) (1.49, 1.29, 1.47) Tools 19.87807
(415.98, 14.51, 246.23) (379.50, 7.54, 246.41) (1.49, 1.29, 1.47) Tools 19.85633
(415.98, 14.51, 246.23) (379.50, 7.54, 246.41) (1.49, 1.29, 1.47) Tools 19.83759
(415.98, 14.51, 246.23) (379.50, 7.54, 246.41) (1.49, 1.29, 1.47) Tools 19.82185
(415.98, 14.51, 246.23) (379.50, 7.54, 246.41) (1.49, 1.29, 1.47) Tools 19.80909
(415.98, 14.51, 246.23) (379.50, 8.79, 246.41) (1.49, 1.29, 1.47) Tools 19.79929
(415.98, 14.51, 246.23) (379.50, 8.79, 246.41) (1.49, 1.29, 1.47) Tools 19.79246
(415.98, 14.51, 246.23) (379.50, 8.79, 246.41) (1.49, 1.29, 1.47) Tools 19.78858
—(415.98, 14.51, 246.23) (379.50, 8.79, 246.41) (1.49, 1.29, 1.47) Tools 19.78766
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.558606
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.744718
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.94464
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.160598
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.398242
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.658396
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.941681
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.251276
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.586662
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.509571
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.937366
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.411983
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.941394
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53559
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20709
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97193
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.81185
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77179
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.93918
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.73635
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.64215
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.51902
(415.98, 14.51, 246.23) (388.38, 7.52, 247.74) (1.18, 1.64, 1.16) Tools 11.28786
(415.98, 14.51, 246.23) (388.38, 7.52, 247.74) (1.18, 1.64, 1.16) Tools 11.26802
(415.98, 14.51, 246.23) (388.38, 7.52, 247.74) (1.18, 1.64, 1.16) Tools 11.24994
(415.98, 14.51, 246.23) (388.38, 7.52, 247.74) (1.18, 1.64, 1.16) Tools 11.25679
(415.98, 14.51, 246.23) (379.50, 7.54, 246.41) (1.49, 1.29, 1.47) Tools 19.82709
(415.98, 14.51, 246.23) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 17.47242
(415.98, 14.51, 246.23) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 17.4643
(415.98, 14.51, 246.23) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 17.45879
(415.98, 14.51, 246.23) (379.50, 8.79, 246.41) (1.49, 1.29, 1.47) Tools 19.80564
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.548177
(415.98, 14.51, 246.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.733529
