¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
õ(390.34, 13.96, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.204923
(390.34, 13.96, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.667789
(390.34, 13.96, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06784
(390.34, 13.96, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4833
(390.34, 13.96, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93777
(390.34, 13.96, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62605
(390.34, 13.96, 251.85) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 11.81233
(390.34, 13.96, 251.85) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 11.82396
(390.34, 13.96, 251.85) (408.61, 7.73, 233.68) (1.88, 1.40, 1.43) Tools 12.07846
(390.34, 13.96, 251.85) (408.61, 7.73, 233.68) (1.88, 1.40, 1.43) Tools 12.05965
(390.34, 13.96, 251.85) (408.61, 7.73, 233.68) (1.88, 1.40, 1.43) Tools 12.0427
(390.34, 13.96, 251.85) (408.61, 7.73, 233.68) (1.88, 1.40, 1.43) Tools 12.02759
(390.34, 13.96, 251.85) (408.61, 7.73, 233.68) (1.88, 1.40, 1.43) Tools 12.0143
(390.34, 13.96, 251.85) (408.61, 7.73, 233.68) (1.88, 1.40, 1.43) Tools 12.00284
(390.34, 13.96, 251.85) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 11.99318
(390.34, 13.96, 251.85) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 11.98533
(390.34, 13.96, 251.85) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 11.97928
(390.34, 13.96, 251.85) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 11.97502
(390.34, 13.96, 251.85) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 11.97255
(390.34, 13.96, 251.85) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 11.97186
(390.34, 13.96, 251.85) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 11.97296
(390.34, 13.96, 251.85) (408.61, 9.12, 233.68) (1.88, 1.40, 1.43) Tools 11.97585
(390.34, 13.96, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.253962
(390.34, 13.96, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.46858
(390.34, 13.96, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.706158
(390.34, 13.96, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.965863
(390.34, 13.96, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.247643
(390.34, 13.96, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.554337
(390.34, 13.96, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.897882
(390.34, 13.96, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.294318
(390.34, 13.96, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.733685
(390.34, 13.96, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.217081
(390.34, 13.96, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.692557
(390.34, 13.96, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08675
(390.34, 13.96, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50383
(390.34, 13.96, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95864
(390.34, 13.96, 251.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63466
(390.34, 13.96, 251.85) (408.61, 7.73, 233.68) (1.88, 1.40, 1.43) Tools 12.05503
(390.34, 13.96, 251.85) (408.61, 7.73, 233.68) (1.88, 1.40, 1.43) Tools 12.06763
(390.34, 13.96, 251.85) (408.61, 7.73, 233.68) (1.88, 1.40, 1.43) Tools 12.08206
