¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ê(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.232549
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.79985
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.44045
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01872
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91745
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.96933
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.22989
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.74944
(435.09, 14.08, 289.34) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 18.67194
(435.09, 14.08, 289.34) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 18.69336
(435.09, 14.08, 289.34) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 18.79411
(435.09, 14.08, 289.34) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 19.01344
(435.09, 14.08, 289.34) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 19.54955
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.123379
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.287006
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.462392
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.650684
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.853326
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.071507
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.307827
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.565014
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.845129
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.150751
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.485722
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.857413
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.269243
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.728006
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.231153
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.798881
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.43748
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00915
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91262
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.95794
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.21152
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.7329
(435.09, 14.08, 289.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.70269
(435.09, 14.08, 289.34) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 18.88533
