¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‚(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.90537
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.20351
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.51387
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.83706
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.19229
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.66824
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.27698
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.92445
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.707409
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.060802
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.44949
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.878942
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.355835
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.87324
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44449
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08764
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81704
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65123
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58655
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.31209
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.12195
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.93681
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.54965
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.66591
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.50553
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.79994
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.09221
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.4142
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.75282
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.10604
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.4927
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.03234
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.66233
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.33296
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.7211
(368.83, 9.54, 334.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.075829
