¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
×(342.22, 7.21, 365.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.0025
(342.22, 7.21, 365.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.56042
(342.22, 7.21, 365.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.60287
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.824601
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.802001
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.780321
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.759544
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.792954
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.867187
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.944503
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.025079
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.109098
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.196764
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.288294
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.383923
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.578293
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.806246
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.054567
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.326062
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.749202
(342.22, 7.21, 365.74) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 12.08733
(342.22, 7.21, 365.74) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 12.06589
(342.22, 7.21, 365.74) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 12.04633
(342.22, 7.21, 365.74) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 12.10344
(342.22, 7.21, 365.74) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 12.18874
(342.22, 7.21, 365.74) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 12.4457
(342.22, 7.21, 365.74) (353.66, 0.49, 340.27) (6.54, 1.16, 1.19) Tools 14.23856
(342.22, 7.21, 365.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.54935
(342.22, 7.21, 365.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.83346
(342.22, 7.21, 365.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.21847
(342.22, 7.21, 365.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.72292
(342.22, 7.21, 365.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.26067
(342.22, 7.21, 365.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.7913
(342.22, 7.21, 365.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.8709
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.628401
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.606781
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.586045
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.616925
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.684673
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.755158
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.82853
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.904944
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.984573
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.067599
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.154219
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.303891
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.508567
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.730562
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.972132
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.235936
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.110471
È(342.22, 7.21, 365.74) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 12.09849
(342.22, 7.21, 365.74) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 12.07703
(342.22, 7.21, 365.74) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 12.05745
(342.22, 7.21, 365.74) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 12.11333
(342.22, 7.21, 365.74) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 12.19878
(342.22, 7.21, 365.74) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 12.45315
(342.22, 7.21, 365.74) (353.66, 0.49, 340.27) (6.54, 1.16, 1.19) Tools 14.23046
(342.22, 7.21, 365.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.72699
(342.22, 7.21, 365.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.04805
(342.22, 7.21, 365.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.45684
(342.22, 7.21, 365.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.97565
(342.22, 7.21, 365.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.52915
(342.22, 7.21, 365.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.01796
(342.22, 7.21, 365.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.15331
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.448179
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.427456
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.455119
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.517116
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.581557
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.648567
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.718282
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.790845
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.866412
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.945151
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.05648
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.241228
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.440832
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.657119
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.89223
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.328656
(342.22, 7.21, 365.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21785
(342.22, 7.21, 365.74) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 12.11148
(342.22, 7.21, 365.74) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 12.09
(342.22, 7.21, 365.74) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 12.07039
(342.22, 7.21, 365.74) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 12.12492
(342.22, 7.21, 365.74) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 12.21055
(342.22, 7.21, 365.74) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 12.4621
(342.22, 7.21, 365.74) (353.66, 0.49, 340.27) (6.54, 1.16, 1.19) Tools 14.22414
(342.22, 7.21, 365.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.94104
(342.22, 7.21, 365.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.27058
(342.22, 7.21, 365.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.70438
(342.22, 7.21, 365.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.23832
(342.22, 7.21, 365.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.76646
(342.22, 7.21, 365.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.25312
(342.22, 7.21, 365.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.44721
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.3343
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.314945
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.362836
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.4219
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.483263
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.547042
Í(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.61336
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.682351
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.754156
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.832326
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.999885
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.180282
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.375017
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.58583
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 5.814759
(342.22, 7.21, 365.74) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.642303
(342.22, 7.21, 365.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23298
(342.22, 7.21, 365.74) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 12.12631
(342.22, 7.21, 365.74) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 4.809071
