¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¬(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.58894
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.04626
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.07022
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.9845
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.56699
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.038507
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.267817
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.516242
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.786228
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.080655
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.402944
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.725204
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.045242
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.394248
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.250722
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.73583
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29938
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16352
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33484
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.76758
(324.91, 7.15, 393.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.42529
