¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¨(346.95, 7.02, 312.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.942065
(346.95, 7.02, 312.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.399923
(346.95, 7.02, 312.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.970448
(346.95, 7.02, 312.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61635
(346.95, 7.02, 312.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3832
(346.95, 7.02, 312.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38984
(346.95, 7.02, 312.88) (319.87, 0.63, 315.95) (1.48, 1.29, 1.46) Tools 13.15374
(346.95, 7.02, 312.88) (319.87, 0.63, 315.95) (1.48, 1.29, 1.46) Tools 13.13122
(346.95, 7.02, 312.88) (319.87, 0.63, 315.95) (1.48, 1.29, 1.46) Tools 13.11074
(346.95, 7.02, 312.88) (319.87, 0.63, 315.95) (1.48, 1.29, 1.46) Tools 13.09227
(346.95, 7.02, 312.88) (319.87, 0.63, 315.95) (1.48, 1.29, 1.46) Tools 13.07581
(346.95, 7.02, 312.88) (319.87, 0.63, 315.95) (1.48, 1.29, 1.46) Tools 13.06133
(346.95, 7.02, 312.88) (319.87, 0.63, 315.95) (1.48, 1.29, 1.46) Tools 13.04883
(346.95, 7.02, 312.88) (319.87, 0.63, 315.95) (1.48, 1.29, 1.46) Tools 13.0383
(346.95, 7.02, 312.88) (323.45, 2.78, 317.64) (1.73, 1.29, 1.74) Tools 9.350672
(346.95, 7.02, 312.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.992917
(346.95, 7.02, 312.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.190204
(346.95, 7.02, 312.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.401855
(346.95, 7.02, 312.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.629533
(346.95, 7.02, 312.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.875111
(346.95, 7.02, 312.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.132806
(346.95, 7.02, 312.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.374317
(346.95, 7.02, 312.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.636374
(346.95, 7.02, 312.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.926104
(346.95, 7.02, 312.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.23997
(346.95, 7.02, 312.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.581055
(346.95, 7.02, 312.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.952947
(346.95, 7.02, 312.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.426532
(346.95, 7.02, 312.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00043
(346.95, 7.02, 312.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65049
(346.95, 7.02, 312.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41937
(346.95, 7.02, 312.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43283
