¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
—(343.03, 7.18, 364.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.375538
(343.03, 7.18, 364.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.7082
(343.03, 7.18, 364.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.073547
(343.03, 7.18, 364.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.476581
(343.03, 7.18, 364.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.923366
(343.03, 7.18, 364.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.421356
(343.03, 7.18, 364.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.979795
(343.03, 7.18, 364.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.61029
(343.03, 7.18, 364.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.32763
(343.03, 7.18, 364.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.15094
(343.03, 7.18, 364.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.97207
(343.03, 7.18, 364.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.09713
(343.03, 7.18, 364.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.47755
(343.03, 7.18, 364.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.97483
(343.03, 7.18, 364.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.24985
(343.03, 7.18, 364.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.53656
(343.03, 7.18, 364.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.12
