¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
å(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.476076
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.098994
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.791403
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.1348
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.54034
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.61436
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.93824
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.6115
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.59339
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.40151
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.68862
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.98707
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.29752
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.58645
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.326794
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.389146
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.453706
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.520578
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.58983
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.661592
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.73595
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.801087
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.868433
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.93819
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.01041
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.085202
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.162755
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.243027
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.326301
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.41258
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.860514
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.413157
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.033664
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.715645
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.18684
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.44053
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.49493
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.79006
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.42436
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.31437
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.23549
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.51788
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.81137
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.11658
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.43416
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.338704
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.401363
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.466192
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.533383
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.602954
(350.71, 7.11, 355.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.675061
