¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
³(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.56507
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.81666
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.0894
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.387837
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.707249
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.05094
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.435122
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.848699
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.302186
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.797762
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32885
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.96415
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.68641
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.50723
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.36712
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.23147
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.1301
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.14738
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.1103
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.45559
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.01026
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.8236
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.90803
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.352452
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.519611
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.696694
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.8854
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.087976
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.307175
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.545183
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.79515
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.066063
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.362137
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.679913
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.021031
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.400893
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.812302
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.260939
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.754501
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.28069
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.90463
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.61954
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.43052
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.29154
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.16386
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.05411
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.06369
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.0172
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.33971
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.87509
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.66064
µ(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.69635
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.339529
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.50581
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.682007
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.869663
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.071073
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.288689
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.525553
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.773922
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.043039
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.336781
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.652981
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.991582
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.367173
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.776505
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.22132
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.712045
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.23345
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.84621
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.55394
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.35534
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.21766
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.09802
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.98017
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.75403
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.91962
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.22728
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.74407
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.50293
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.49165
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.326739
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.492154
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.667488
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.854106
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.054369
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.270413
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.505883
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.752974
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.020321
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.311763
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.626455
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.962582
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.33395
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.741295
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.182372
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.670377
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.18711
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.78885
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.4891
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.28165
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.14545
É(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.03395
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.90825
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.67492
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.82492
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.11825
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.61713
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.35029
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.29375
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.314084
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.478642
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.653137
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.838735
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.037864
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.252351
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.486372
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.732305
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.997914
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.287086
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.600333
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.934032
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.301222
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.706674
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.144091
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.629494
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.14166
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.73256
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.42517
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.20945
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.0749
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.96723
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.56033
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.59809
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.73305
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.01247
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.49421
(430.84, 10.77, 356.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.20256
