¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¦(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15176
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69046
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29133
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96565
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72766
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59546
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27087
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.8495
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.64779
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.78745
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.606468
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.726645
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.854048
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.989853
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.134263
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.288094
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.452359
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.634864
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.813924
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.993297
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.18504
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.390446
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.610983
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.847933
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.09941
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.368653
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.660313
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.97725
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.322829
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.700617
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.115754
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15706
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69635
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29793
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97306
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73602
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60506
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27246
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.86878
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.72277
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.94704
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.61196
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.732452
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.86043
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.996624
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.14146
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.295757
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.462233
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.643456
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.817496
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.997104
¥(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.189108
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.394799
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.615575
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.852764
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.102736
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.372242
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.664197
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.981472
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.327269
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.705471
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.121094
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16332
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70332
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30567
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98178
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74588
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61632
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27605
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.93861
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.8021
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.28253
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.617612
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.738431
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.866992
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.003588
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.148862
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.30364
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.472332
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.652175
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.821377
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.00124
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.193526
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.399529
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.62047
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.856755
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.106537
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.376348
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.668644
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.986303
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.332369
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.711056
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.127231
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17049
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71131
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3146
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99181
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75723
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.62927
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.28165
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.01129
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.90252
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.63475
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.623427
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.744711
(356.68, 9.70, 318.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.873736
