¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ç(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.20422
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.20076
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.213135
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.417332
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.63325
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.860259
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.10445
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.3678
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.65259
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.961533
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.300995
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.605647
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.674388
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.647211
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.621488
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.597194
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.574313
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.552828
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.930297
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.551698
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 10.26769
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.10151
(442.08, 14.44, 259.25) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.08469
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.35526
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.33452
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.31598
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.29961
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.28542
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.27338
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.26349
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.25573
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.25011
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 14.24662
(442.08, 14.44, 259.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.215637
