¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¼(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.613554
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.38775
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43747
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.09676
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.87643
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.12434
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.210221
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.204369
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.199897
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.196799
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.195079
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.19473
(397.09, 14.00, 247.34) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.195754
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.426934
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.597929
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.780607
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.976533
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.187162
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.847477
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.115037
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.40552
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.721914
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.06781
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.447493
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.843633
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.282201
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.782326
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34104
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95767
(397.09, 14.00, 247.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64487
