¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
é(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.14414
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.22417
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.55012
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.14084
(327.15, 7.66, 368.36) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.37883
(327.15, 7.66, 368.36) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.35657
(327.15, 7.66, 368.36) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.33681
(327.15, 7.66, 368.36) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.31953
(327.15, 7.66, 368.36) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.30472
(327.15, 7.66, 368.36) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.29237
(327.15, 7.66, 368.36) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.28246
(327.15, 7.66, 368.36) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.27499
(327.15, 7.66, 368.36) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.26995
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.108384
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.270802
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.444929
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.632831
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.835068
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.049336
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.281592
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.537546
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.817201
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.123108
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.457573
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.827549
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.235868
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.703182
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.222312
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.806037
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.46698
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.21861
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.12098
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.19444
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.50877
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.09054
(327.15, 7.66, 368.36) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.30802
(327.15, 7.66, 368.36) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.28589
(327.15, 7.66, 368.36) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.26625
(327.15, 7.66, 368.36) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.24907
(327.15, 7.66, 368.36) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.23436
(327.15, 7.66, 368.36) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.22209
(327.15, 7.66, 368.36) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.21225
(327.15, 7.66, 368.36) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.20485
(327.15, 7.66, 368.36) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.19987
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.105247
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.267448
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.441394
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.629034
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.830977
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.044929
(327.15, 7.66, 368.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.277067
