¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ç(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.207133
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.661261
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.170035
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.773019
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13979
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.21853
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5947
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.05606
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.67383
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.468576
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.803515
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.192295
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.64467
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.15137
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35101
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10031
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17086
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.55275
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.96069
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.62897
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.453298
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.786764
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.177032
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.627609
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.733624
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33167
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07231
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12168
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50771
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.85856
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.437816
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.769794
(376.30, 8.03, 343.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.161351
