¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ƒ(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.359432
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.605437
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.872549
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.162921
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.480078
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.828034
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.762788
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.205484
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.696809
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2452
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86101
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55742
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35128
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2643
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.3254
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.57357
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.73952
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.71886
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.70045
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.68428
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.67033
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.6586
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.64906
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.64173
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.63658
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.63362
(330.27, 7.50, 367.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.63285
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.53854
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.721061
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.917601
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.12826
(330.27, 7.50, 367.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.35542
