¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.694583
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.121823
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.584201
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.994644
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4411
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.92545
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45867
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96731
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47746
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0453
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.566298
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.800741
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.053651
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.327198
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.624065
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.947179
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.300193
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.687404
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.11393
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.565571
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.973976
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41337
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89501
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4251
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92325
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.42942
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98252
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.68657
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.562285
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.796441
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.048987
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.322159
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.618588
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.941214
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.293662
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.680218
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.106001
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.547294
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.948993
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3861
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86505
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39213
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88019
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38255
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9313
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53302
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.5583
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.792113
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.044321
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.317106
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.613076
¹(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.935195
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.287104
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.67301
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.098058
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.526044
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.924446
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3593
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83561
(437.81, 13.98, 296.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35968
