¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ñ(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.851679
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.8387
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.826775
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.815914
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.806083
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.79731
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.789578
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.782856
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.777321
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.786016
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.819679
(327.32, 7.53, 367.06) (337.11, 1.08, 388.28) (0.81, 2.16, 0.81) Human 6.891223
(327.32, 7.53, 367.06) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.10893
(327.32, 7.53, 367.06) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.10692
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.699571
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.280296
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.493136
(327.32, 7.53, 367.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.72198
