°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ô(331.30, 7.40, 369.22) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.84914
(331.30, 7.40, 369.22) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.84716
(331.30, 7.40, 369.22) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.8471
(331.30, 7.40, 369.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.887031
(331.30, 7.40, 369.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.090878
(331.30, 7.40, 369.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.396388
(331.30, 7.40, 369.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.855213
(331.30, 7.40, 369.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.950248
(331.30, 7.40, 369.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.148361
(331.30, 7.40, 369.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.390408
(331.30, 7.40, 369.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.730428
(331.30, 7.40, 369.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.104511
(331.30, 7.40, 369.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.517978
(331.30, 7.40, 369.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.984851
(331.30, 7.40, 369.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.500904
(331.30, 7.40, 369.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79144
(331.30, 7.40, 369.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46162
(331.30, 7.40, 369.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22253
(331.30, 7.40, 369.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0937
(331.30, 7.40, 369.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10088
(331.30, 7.40, 369.22) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.93298
(331.30, 7.40, 369.22) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.90961
(331.30, 7.40, 369.22) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.88825
(331.30, 7.40, 369.22) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.86888
(331.30, 7.40, 369.22) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.85148
(331.30, 7.40, 369.22) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.83605
(331.30, 7.40, 369.22) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.82256
(331.30, 7.40, 369.22) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.811
(331.30, 7.40, 369.22) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.80138
(331.30, 7.40, 369.22) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.79369
(331.30, 7.40, 369.22) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.78791
(331.30, 7.40, 369.22) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.78404
(331.30, 7.40, 369.22) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.78208
(331.30, 7.40, 369.22) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.78203
(331.30, 7.40, 369.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.884715
(331.30, 7.40, 369.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.088387
(331.30, 7.40, 369.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.30764
(331.30, 7.40, 369.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.542644
(331.30, 7.40, 369.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.799446
(331.30, 7.40, 369.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.263242
(331.30, 7.40, 369.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.587532
(331.30, 7.40, 369.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.83449
