¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
à(337.29, 7.49, 330.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.56781
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.922895
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.736458
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.718379
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.70153
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.685901
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.683221
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.736314
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.791317
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.848287
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.907286
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.999131
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.146563
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.300793
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.512157
(337.29, 7.49, 330.54) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.407274
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.976876
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.955051
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.934151
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.94392
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.989786
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.03727
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.086432
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.137338
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.190056
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.260416
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.415553
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.580975
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.75771
(337.29, 7.49, 330.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43321
(337.29, 7.49, 330.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.25475
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.859044
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.646275
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.627296
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.609545
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.593006
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.577991
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.628438
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.680716
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.734877
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.790979
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.860595
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.001726
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.149255
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.303588
(337.29, 7.49, 330.54) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.276685
(337.29, 7.49, 330.54) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.281689
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.878136
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.856748
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.836265
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.875916
é(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.920259
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.966163
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.013688
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.062894
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.113846
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.216979
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.369393
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.531832
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.705286
(337.29, 7.49, 330.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43139
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.800236
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.560807
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.540935
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.522287
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.504849
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.488605
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.525799
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.575488
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.626983
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.680338
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.735608
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.864198
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.005459
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.153129
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.592523
(337.29, 7.49, 330.54) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.37674
(337.29, 7.49, 330.54) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.315897
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.783938
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.762966
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.768809
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.810247
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.853143
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.897548
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.943517
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.99111
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.040389
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.174566
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.324347
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.483902
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.857236
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.746397
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.508237
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.4591
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.439562
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.42123
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.404091
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.428129
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.475356
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.524317
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.575062
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.627644
ä(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.733509
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.868902
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.010337
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.290357
(337.29, 7.49, 330.54) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.480365
(337.29, 7.49, 330.54) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 9.41817
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.693997
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.673421
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.7067
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.74681
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.78833
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.83131
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.875803
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.921866
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.994633
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.133154
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.280387
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.437152
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.697471
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.460525
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.381611
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.361187
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.341968
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.32394
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.33518
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.380063
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.426612
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.474876
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.524903
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.60923
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.739118
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.874712
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 8.01636
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.608053
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.609139
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.646663
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.685509
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.72572
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.767346
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.810436
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.855043
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.956456
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.092717
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.237484
(337.29, 7.49, 330.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.39155
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.417369
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.308304
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.286995
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.266893
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.247981
(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.246727
ë(337.29, 7.49, 330.54) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 7.289373
