¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
â(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.11664
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.09697
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.47694
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.53606
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.81281
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.41261
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.39361
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.37725
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.36351
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.35238
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.34385
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.33792
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.33458
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.33382
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.205616
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.415616
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.64131
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.884571
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.1474
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.432273
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.742002
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.078084
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.429654
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.814558
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.237776
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.723303
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27615
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80081
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46329
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.29578
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.27234
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.25066
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.23075
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.4589
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.51452
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.78663
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.55006
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.53089
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.51437
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.5005
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.48926
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.48063
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.47463
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.47123
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.47045
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.204055
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.413917
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.639494
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.882574
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.145282
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.429962
Ü(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.739487
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.074568
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.425797
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.810355
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.233111
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.719242
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27158
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82601
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46321
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.43539
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.41164
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.38968
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.3695
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.44125
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 12.49344
(441.53, 14.70, 257.07) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 13.76101
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.69236
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.67301
(441.53, 14.70, 257.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.65634
