¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¤(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.79386
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.881019
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.01785
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.163369
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.318398
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.84806
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.029378
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.22327
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.431012
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.654165
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.890045
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.118045
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.362765
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.626071
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.886541
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.034151
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.215574
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.457046
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.687983
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.933252
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.194168
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97371
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19254
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42208
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66294
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91602
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27118
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01025
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.24382
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.63097
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.82795
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.70879
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.878452
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.015126
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.160471
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.67471
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.844392
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.025463
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.219071
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.426537
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.649351
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.884648
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.112248
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.356526
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.619409
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.828416
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.973694
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.127696
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.376053
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.613764
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.854678
¥(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.110839
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.383725
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06589
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29005
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52518
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77219
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03178
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6291
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.40427
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.61028
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.72795
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.79794
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.876008
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.012532
(430.04, 10.41, 359.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.157713
