¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
À(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 12.31053
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 13.41465
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 14.73875
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 16.35558
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 18.37393
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.96413
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 24.40869
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.866048
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.058244
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.264458
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.486203
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.719596
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.901494
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.83143
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.304697
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.570924
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.858483
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.170078
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.508692
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.877962
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 8.960424
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 9.274214
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 9.881971
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 10.57666
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 11.37823
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 12.31325
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 13.41788
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 14.74266
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 16.36041
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 18.38003
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.97207
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 24.41947
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.869061
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.061493
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.267935
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.489928
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.697831
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.673447
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.769775
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.274005
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.522294
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.805991
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.11315
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.446796
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.810429
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 9.056766
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 9.275876
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 9.883862
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 10.57883
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 11.38075
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 12.3162
È(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 13.42139
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 14.7469
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 16.36563
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 18.38664
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.98068
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 24.43115
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.872125
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.064775
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.271444
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.493729
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.676541
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.615395
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.709832
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.808035
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.47455
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.754418
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.05729
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.386116
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.74426
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.135803
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 9.277664
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 9.885897
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 10.58117
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 11.38345
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 12.31938
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 13.42517
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 14.75147
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 16.37127
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.422801
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.415824
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 24.44375
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.875236
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.068099
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.275037
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.487515
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.65567
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.558935
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.651552
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.747842
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.437632
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.703803
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.002506
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.326621
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.679428
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.064863
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 9.279581
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 9.888079
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 10.58367
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 11.38636
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 12.32279
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 13.42922
ã(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 14.75637
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.339898
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.332095
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.325255
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 24.45725
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.878394
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.0715
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.278687
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.468162
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.41657
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.504017
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.594881
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.689331
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.787554
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.654132
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.94877
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.268295
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.615911
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.995443
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 9.343412
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 9.890408
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 10.58634
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 11.38946
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 12.32642
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.34064
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.330351
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.249208
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.241533
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.234805
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.298885
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.293411
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.881609
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.074946
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.282374
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.449238
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.364759
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.450597
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.53977
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.632447
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.728808
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.611254
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.896016
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.211071
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.553659
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.927437
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 9.454286
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 9.892879
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 10.58918
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 11.39275
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.256743
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.408614
ü(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.398197
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.233088
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.224842
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.24308
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.366323
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.360772
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.884864
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.078411
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.274704
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.430718
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.360625
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.418671
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.486177
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.577147
(381.63, 14.05, 262.92) (386.21, 7.73, 244.74) (0.93, 1.64, 0.82) Tools 6.671713
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.584935
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.844295
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.155014
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.492664
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.886837
(381.63, 14.05, 262.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 9.569269
