¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47253
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18141
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01441
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98363
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.12519
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.37167
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.21548
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.59023
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.3271
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.899319
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.049568
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.210127
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.382061
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.566589
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.765112
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.981551
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.688461
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.966545
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.269933
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.602081
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.967341
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.369448
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.802283
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.28376
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.822521
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42931
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13453
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96022
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92027
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.05014
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.32179
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.19437
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.85682
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.3398
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.889625
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.039227
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.199072
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.370218
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.553872
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.751422
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.967692
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.204255
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.949011
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.250772
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.581105
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.944201
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.342289
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.772154
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.250199
(374.66, 14.67, 298.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.784868
