¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
×(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80719
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4217
(397.69, 14.03, 247.37) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 12.80814
(397.69, 14.03, 247.37) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 12.78555
(397.69, 14.03, 247.37) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 12.76552
(397.69, 14.03, 247.37) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 12.74812
(397.69, 14.03, 247.37) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 12.73266
(397.69, 14.03, 247.37) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 12.71913
(397.69, 14.03, 247.37) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 12.70753
(397.69, 14.03, 247.37) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 12.69784
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.01264
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.21536
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.433151
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.667812
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.893499
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.111607
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.345078
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.595621
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.865043
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.189798
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.550719
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.011979
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.630729
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30584
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04537
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73417
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34072
(397.69, 14.03, 247.37) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 12.9903
(397.69, 14.03, 247.37) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 12.96866
(397.69, 14.03, 247.37) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 12.94902
(397.69, 14.03, 247.37) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 12.93136
(397.69, 14.03, 247.37) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 12.91568
(397.69, 14.03, 247.37) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 12.90196
(397.69, 14.03, 247.37) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 12.89019
(397.69, 14.03, 247.37) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 12.88036
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.009525
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.211974
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.42951
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.663888
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.884186
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.101616
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.33441
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.584175
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.872619
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.204387
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.566682
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.051857
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.676386
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39516
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12106
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66253
Û(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.26143
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99737
(397.69, 14.03, 247.37) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.15979
(397.69, 14.03, 247.37) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.13986
(397.69, 14.03, 247.37) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.12194
(397.69, 14.03, 247.37) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.10603
(397.69, 14.03, 247.37) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.0921
(397.69, 14.03, 247.37) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.08016
(397.69, 14.03, 247.37) (372.38, 7.57, 252.37) (1.67, 1.29, 1.68) Tools 13.07019
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.006439
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.208646
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.425938
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.660017
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.875075
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.091894
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.324008
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.580265
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.886248
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.219214
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.582906
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.091878
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.72226
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44825
(397.69, 14.03, 247.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05738
