¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
§(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.19538
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.19415
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.107409
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.306959
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.521042
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.751175
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.999235
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.267375
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.558037
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.874134
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.219097
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.597027
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.01278
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.472291
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.982769
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55305
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19417
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84914
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58418
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41277
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.29703
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.26891
(331.38, 7.41, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.2909
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.5029
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.48183
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.46327
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.44721
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.43362
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.42251
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.41386
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.40767
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.40393
(331.38, 7.41, 369.23) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.40264
