¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
â(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.22587
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.69447
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.22216
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.80007
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.43186
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.12818
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.90845
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.3508
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.34716
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.47272
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.7564
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.20024
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.05762
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.445008
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.94271
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.504255
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.82505
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11366
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42132
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.65202
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.70542
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.05773
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.43484
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.8404
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.2777
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.7505
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.27482
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.85758
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.49611
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.19647
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.98317
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.43187
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.43811
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.57605
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.86321
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.22099
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.96075
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.489498
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.99284
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.572262
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.855936
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14652
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45637
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.6102
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.74236
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.0996
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.48042
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.88943
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.33056
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.80768
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.32857
ë(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.91629
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.5605
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.26927
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.63866
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.51488
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.5312
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.68178
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.98282
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.24349
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.86548
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.533718
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.042684
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.613474
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.887379
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17997
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49201
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.5773
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.77998
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.14039
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.52629
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.93942
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.38449
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.86602
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.38859
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.9762
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.62625
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.3421
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.71519
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.59982
(392.88, 12.59, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.62643
