¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ä(402.94, 14.26, 247.76) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.03822
(402.94, 14.26, 247.76) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.01695
(402.94, 14.26, 247.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.24543
(402.94, 14.26, 247.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.60687
(402.94, 14.26, 247.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.5082
(402.94, 14.26, 247.76) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.76508
(402.94, 14.26, 247.76) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.76215
(402.94, 14.26, 247.76) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.76248
(402.94, 14.26, 247.76) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.76605
(402.94, 14.26, 247.76) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.77287
(402.94, 14.26, 247.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.011598
(402.94, 14.26, 247.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.216771
(402.94, 14.26, 247.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.43742
(402.94, 14.26, 247.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.675373
(402.94, 14.26, 247.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.930219
(402.94, 14.26, 247.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.199975
(402.94, 14.26, 247.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.492805
(402.94, 14.26, 247.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.811586
(402.94, 14.26, 247.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.160063
(402.94, 14.26, 247.76) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.290253
(402.94, 14.26, 247.76) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.22386
(402.94, 14.26, 247.76) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.13287
(402.94, 14.26, 247.76) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.111379
(402.94, 14.26, 247.76) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.091205
(402.94, 14.26, 247.76) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.072333
(402.94, 14.26, 247.76) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 8.054749
(402.94, 14.26, 247.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52976
(402.94, 14.26, 247.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.34868
(402.94, 14.26, 247.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.25993
(402.94, 14.26, 247.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.12836
(402.94, 14.26, 247.76) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.6614
(402.94, 14.26, 247.76) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.43341
(402.94, 14.26, 247.76) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 11.41102
(402.94, 14.26, 247.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.28906
(402.94, 14.26, 247.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.63852
(402.94, 14.26, 247.76) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.68508
(402.94, 14.26, 247.76) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.67892
