¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¹(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.53893
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.51923
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.50277
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.48955
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.330363
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.646933
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.989857
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.331435
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.704856
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.114714
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.56664
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06722
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61288
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05263
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53223
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05721
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78597
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.96405
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.83644
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.307544
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.62198
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.956681
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.295195
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.665148
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.07103
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.518305
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01356
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53613
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96915
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4411
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95734
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52433
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.9016
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.76275
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.28469
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.596955
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.923602
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.259118
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.625637
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.027605
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.470316
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.96029
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46071
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88721
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35173
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85949
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41673
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.83871
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.68534
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.261691
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.57187
¯(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.890684
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.223193
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.586287
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.984398
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.422609
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.907354
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38662
(378.97, 14.86, 304.46) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80675
