¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ø(439.41, 15.14, 253.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.264476
(439.41, 15.14, 253.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.472093
(439.41, 15.14, 253.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.658302
(439.41, 15.14, 253.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.856591
(439.41, 15.14, 253.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.068149
(439.41, 15.14, 253.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.323161
(439.41, 15.14, 253.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.606662
(439.41, 15.14, 253.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.914237
(439.41, 15.14, 253.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.249001
(439.41, 15.14, 253.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.614681
(439.41, 15.14, 253.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.209494
(439.41, 15.14, 253.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.914082
(439.41, 15.14, 253.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.688
(439.41, 15.14, 253.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22192
(439.41, 15.14, 253.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69345
(439.41, 15.14, 253.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18611
(439.41, 15.14, 253.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72085
(439.41, 15.14, 253.94) (418.15, 7.58, 234.73) (2.02, 1.13, 1.82) Tools 13.5331
(439.41, 15.14, 253.94) (418.15, 7.58, 234.73) (2.02, 1.13, 1.82) Tools 13.50799
(439.41, 15.14, 253.94) (418.15, 7.58, 234.73) (2.02, 1.13, 1.82) Tools 13.48498
(439.41, 15.14, 253.94) (417.74, 7.73, 231.78) (1.95, 1.40, 1.57) Tools 15.37862
(439.41, 15.14, 253.94) (417.74, 7.73, 231.78) (1.95, 1.40, 1.57) Tools 15.35708
(439.41, 15.14, 253.94) (417.93, 9.12, 233.24) (1.84, 1.40, 1.35) Tools 13.81566
(439.41, 15.14, 253.94) (417.74, 9.12, 231.78) (1.95, 1.40, 1.57) Tools 15.32104
(439.41, 15.14, 253.94) (417.74, 9.12, 231.78) (1.95, 1.40, 1.57) Tools 15.30651
(439.41, 15.14, 253.94) (417.74, 9.12, 231.78) (1.95, 1.40, 1.57) Tools 15.29428
(439.41, 15.14, 253.94) (417.74, 9.12, 231.78) (1.95, 1.40, 1.57) Tools 15.28435
(439.41, 15.14, 253.94) (417.74, 9.12, 231.78) (1.95, 1.40, 1.57) Tools 15.27672
(439.41, 15.14, 253.94) (417.74, 9.12, 231.78) (1.95, 1.40, 1.57) Tools 15.27136
(439.41, 15.14, 253.94) (417.74, 9.12, 231.78) (1.95, 1.40, 1.57) Tools 15.2683
(439.41, 15.14, 253.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.066197
(439.41, 15.14, 253.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.270895
(439.41, 15.14, 253.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.487521
(439.41, 15.14, 253.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.674718
