¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¯ (396.80, 14.67, 306.07) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.946682
(396.80, 14.67, 306.07) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.26195
(396.80, 14.67, 306.07) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 11.03885
(396.80, 14.67, 306.07) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.37953
(396.80, 14.67, 306.07) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.37705
(396.80, 14.67, 306.07) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.37612
(396.80, 14.67, 306.07) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.37674
(396.80, 14.67, 306.07) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.3789
(396.80, 14.67, 306.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.981453
(396.80, 14.67, 306.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.193219
(396.80, 14.67, 306.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.421537
(396.80, 14.67, 306.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.668343
(396.80, 14.67, 306.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.93599
(396.80, 14.67, 306.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.222999
(396.80, 14.67, 306.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.527884
(396.80, 14.67, 306.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.860888
(396.80, 14.67, 306.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.226007
(396.80, 14.67, 306.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.628041
(396.80, 14.67, 306.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.072811
(396.80, 14.67, 306.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.567465
(396.80, 14.67, 306.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12072
(396.80, 14.67, 306.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72758
(396.80, 14.67, 306.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39302
(396.80, 14.67, 306.07) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.03237
(396.80, 14.67, 306.07) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.00562
(396.80, 14.67, 306.07) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.980493
(396.80, 14.67, 306.07) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.956973
(396.80, 14.67, 306.07) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.935046
(396.80, 14.67, 306.07) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.914689
(396.80, 14.67, 306.07) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.89589
(396.80, 14.67, 306.07) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.878637
(396.80, 14.67, 306.07) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.862909
(396.80, 14.67, 306.07) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.26599
(396.80, 14.67, 306.07) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.99715
(396.80, 14.67, 306.07) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.44649
(396.80, 14.67, 306.07) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.444
(396.80, 14.67, 306.07) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.44307
(396.80, 14.67, 306.07) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.44369
(396.80, 14.67, 306.07) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 10.44588
(396.80, 14.67, 306.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.968417
(396.80, 14.67, 306.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.179173
(396.80, 14.67, 306.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.406374
(396.80, 14.67, 306.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.651954
