¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ë(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.308958
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.549544
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.799649
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.046288
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.312623
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.619853
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.012265
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.466273
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.944399
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.474822
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.06436
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45105
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09729
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55527
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.14786
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.3348
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.7733
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.00845
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.92145
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.2912
(325.95, 7.54, 373.39) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 21.17999
(325.95, 7.54, 373.39) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 21.34101
(325.95, 7.54, 373.39) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 22.00613
(325.95, 7.54, 373.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 23.87412
(325.95, 7.54, 373.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 23.85406
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.884865
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.091896
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.314999
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.556081
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.809838
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.057268
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.324494
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.626559
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.015245
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.469612
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.95425
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.485909
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77533
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47035
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10593
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56461
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06145
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18258
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.56077
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.02266
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.9776
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.35555
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.42553
(325.95, 7.54, 373.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 24.78647
(325.95, 7.54, 373.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 24.33823
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.890067
Ù(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.097495
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.321042
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.56262
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.820161
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.068398
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.336526
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.63328
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.018085
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.472793
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.964049
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.496937
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79235
(325.95, 7.54, 373.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48969
