¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¥(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.932237
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.148083
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.38115
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.099122
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.392073
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.711396
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.059637
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.434407
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.847064
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.321763
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.852713
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4494
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12864
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95599
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91838
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13021
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.52728
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.25012
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.75295
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.00704
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.930698
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.146423
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.827138
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.096556
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.389233
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.708323
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.057474
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.435444
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.848212
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.32156
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.852468
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44478
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11753
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93451
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89326
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.09417
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.50371
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.2122
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.66629
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.12276
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.929128
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.576156
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.824733
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.093942
(437.94, 13.90, 291.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.38639
