¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Î(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.023582
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.210179
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.408177
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.618491
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.842294
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.08089
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.335798
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.58876
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.758286
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.935982
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.96737
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.062143
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.16219
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.267945
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.379883
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.498542
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.624518
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.758485
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.901197
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.298764
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.416005
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.539403
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.669435
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.806583
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.951479
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.10469
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.275439
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.415537
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.567147
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.727168
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.896228
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.075048
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.264572
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.46563
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.679313
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.906779
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.149444
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.408727
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.666209
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.838831
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.019854
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.963384
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.057946
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.157766
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.263274
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.374946
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.493314
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.618974
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.752595
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.894928
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.318578
ê(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.436797
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.561197
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.69231
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.830661
(357.62, 9.98, 319.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.976815
