¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
­(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.83739
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.79886
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.769639
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.005422
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.259364
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.533567
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.830519
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.153098
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.504757
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.889467
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.312098
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.641848
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.927537
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23137
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5514
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89378
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26089
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02853
(326.33, 7.38, 366.71) (347.26, 0.44, 383.37) (0.86, 0.87, 0.86) Tools 12.62006
(326.33, 7.38, 366.71) (347.26, 0.44, 383.37) (0.86, 0.87, 0.86) Tools 12.59752
(326.33, 7.38, 366.71) (347.26, 0.44, 383.37) (0.86, 0.87, 0.86) Tools 12.57693
(326.33, 7.38, 366.71) (347.26, 0.44, 383.37) (0.86, 0.87, 0.86) Tools 12.55827
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.92356
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.90435
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.88757
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.87318
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.86119
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.85157
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.84433
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.83947
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.83697
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.83683
(326.33, 7.38, 366.71) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.7983
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.770813
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.006701
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.260742
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.535077
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.832136
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.154884
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.506675
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.891586
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.314434
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.633436
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.918601
(326.33, 7.38, 366.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22273
