¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ø(379.52, 16.00, 281.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.900743
(379.52, 16.00, 281.68) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.667351
(379.52, 16.00, 281.68) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.832963
(379.52, 16.00, 281.68) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.245687
(379.52, 16.00, 281.68) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.221148
(379.52, 16.00, 281.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0742
(379.52, 16.00, 281.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65711
(379.52, 16.00, 281.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.29766
(379.52, 16.00, 281.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99487
(379.52, 16.00, 281.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.76128
(379.52, 16.00, 281.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.31284
(379.52, 16.00, 281.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.88289
(379.52, 16.00, 281.68) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.212579
(379.52, 16.00, 281.68) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.201581
(379.52, 16.00, 281.68) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.191691
(379.52, 16.00, 281.68) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.182899
(379.52, 16.00, 281.68) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.175196
