¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
«(404.75, 14.92, 306.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.32657
(404.75, 14.92, 306.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.603936
(404.75, 14.92, 306.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.904376
(404.75, 14.92, 306.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.230744
(404.75, 14.92, 306.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.571683
(404.75, 14.92, 306.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.940542
(404.75, 14.92, 306.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.344034
(404.75, 14.92, 306.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.772491
(404.75, 14.92, 306.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2107
(404.75, 14.92, 306.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69173
(404.75, 14.92, 306.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15503
(404.75, 14.92, 306.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61188
(404.75, 14.92, 306.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10963
(404.75, 14.92, 306.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65394
(404.75, 14.92, 306.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25159
(404.75, 14.92, 306.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.96093
(404.75, 14.92, 306.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79493
(404.75, 14.92, 306.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.78772
(404.75, 14.92, 306.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.20387
(404.75, 14.92, 306.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.54141
(404.75, 14.92, 306.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.7881
(404.75, 14.92, 306.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.063889
