¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
·(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.219393
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.431763
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.661378
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.916968
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.18758
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.48139
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.809072
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.165071
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.556457
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.969859
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.417766
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.921094
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.47752
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.12486
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.8547
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.67413
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.63115
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.71035
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.91123
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.46636
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.33981
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.46981
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.9617
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.027391
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.225822
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.438669
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.669814
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.925705
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.197049
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.491686
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.821047
(442.14, 14.44, 258.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.178207
