¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
®(412.44, 14.78, 312.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.033485
(412.44, 14.78, 312.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.402898
(412.44, 14.78, 312.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.805297
(412.44, 14.78, 312.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.244532
(412.44, 14.78, 312.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.731499
(412.44, 14.78, 312.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.27425
(412.44, 14.78, 312.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.88118
(412.44, 14.78, 312.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.54015
(412.44, 14.78, 312.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.28323
(412.44, 14.78, 312.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.1207
(412.44, 14.78, 312.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.06248
(412.44, 14.78, 312.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.15438
(412.44, 14.78, 312.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.39633
(412.44, 14.78, 312.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.82384
(412.44, 14.78, 312.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.54508
(412.44, 14.78, 312.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.63743
(412.44, 14.78, 312.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.568788
(412.44, 14.78, 312.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.820853
(412.44, 14.78, 312.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.087358
(412.44, 14.78, 312.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.376318
(412.44, 14.78, 312.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.694981
(412.44, 14.78, 312.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.036548
(412.44, 14.78, 312.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.406304
(412.44, 14.78, 312.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.80887
