¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
§(415.14, 12.82, 325.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.274945
(415.14, 12.82, 325.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.538627
(415.14, 12.82, 325.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.255838
(415.14, 12.82, 325.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.544875
(415.14, 12.82, 325.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.859132
(415.14, 12.82, 325.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.20202
(415.14, 12.82, 325.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.577501
(415.14, 12.82, 325.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.990395
(415.14, 12.82, 325.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.44654
(415.14, 12.82, 325.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.953045
(415.14, 12.82, 325.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51855
(415.14, 12.82, 325.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15547
(415.14, 12.82, 325.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90307
(415.14, 12.82, 325.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76012
(415.14, 12.82, 325.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75307
(415.14, 12.82, 325.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.87614
(415.14, 12.82, 325.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.19462
