¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ÿ (379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.199391
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.162889
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.127657
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.093657
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.060857
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.029222
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.998721
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.969324
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.941005
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.913736
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.920863
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.896063
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.872236
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.849359
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.827414
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.80638
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.78624
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.766976
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.748573
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.731016
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.916957
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.138795
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.382439
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.651221
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.837015
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.162884
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.528324
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.374543
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.332345
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.291588
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.252228
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.214221
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.177527
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.142108
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.107929
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.074953
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.043148
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.012483
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.982927
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.954453
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.927034
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.906365
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.881649
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.857901
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.835101
(379.42, 15.92, 284.14) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.81323
