¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
½(439.13, 14.97, 252.42) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.246
(439.13, 14.97, 252.42) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.22259
(439.13, 14.97, 252.42) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.20196
(439.13, 14.97, 252.42) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.18408
(439.13, 14.97, 252.42) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.16895
(439.13, 14.97, 252.42) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.15655
(439.13, 14.97, 252.42) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.14687
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.5203
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.706107
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.905767
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.120852
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.80292
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.072425
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.36531
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.684686
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.034304
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.40712
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.815111
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.266193
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.76744
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32764
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95776
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67161
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48696
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42695
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.49289
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.66353
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.32072
(439.13, 14.97, 252.42) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.41822
(439.13, 14.97, 252.42) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.38617
(439.13, 14.97, 252.42) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.35696
(439.13, 14.97, 252.42) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.33059
(439.13, 14.97, 252.42) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.30701
(439.13, 14.97, 252.42) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.28622
(439.13, 14.97, 252.42) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.26821
(439.13, 14.97, 252.42) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.25294
(439.13, 14.97, 252.42) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.24043
(439.13, 14.97, 252.42) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 18.23065
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.527092
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.713395
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.913609
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.129311
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.812732
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.083066
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.376903
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.697352
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.048179
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.4232
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.832868
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.285835
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.789324
Ï(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35218
(439.13, 14.97, 252.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98547
