¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ş(384.94, 14.43, 305.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80653
(384.94, 14.43, 305.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.93728
(384.94, 14.43, 305.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.26149
(384.94, 14.43, 305.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.86655
(384.94, 14.43, 305.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.17415
(384.94, 14.43, 305.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.0696
(384.94, 14.43, 305.71) (426.17, 14.12, 303.10) (8.74, 13.29, 16.89) Truck 21.98139
(384.94, 14.43, 305.71) (426.17, 14.12, 303.10) (8.74, 13.29, 16.89) Truck 21.9408
(384.94, 14.43, 305.71) (426.17, 14.12, 303.10) (8.74, 13.29, 16.89) Truck 21.90361
(384.94, 14.43, 305.71) (426.17, 14.12, 303.10) (8.74, 13.29, 16.89) Truck 21.86981
(384.94, 14.43, 305.71) (426.17, 14.12, 303.10) (8.74, 13.29, 16.89) Truck 22.1504
(384.94, 14.43, 305.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.916044
(384.94, 14.43, 305.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.138476
(384.94, 14.43, 305.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.379421
(384.94, 14.43, 305.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.641083
(384.94, 14.43, 305.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.92621
(384.94, 14.43, 305.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.249762
(384.94, 14.43, 305.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.070962
(384.94, 14.43, 305.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.443499
(384.94, 14.43, 305.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.853487
(384.94, 14.43, 305.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.313101
