¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
á(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.720577
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.716516
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.713909
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.712752
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.713045
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.714789
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.717984
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.159483
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.300323
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.449889
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.609031
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.778594
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.959656
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.153408
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.355764
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.56851
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.797082
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.043195
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.309252
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.602852
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.922243
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.270925
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.653051
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.073673
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.538725
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05557
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.84159
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.830122
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.820145
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.811651
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.804634
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.799089
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.795012
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.792398
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.791246
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.791557
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.793329
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.796566
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.163348
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.304416
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.454227
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.613625
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.783514
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.964917
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.159057
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.359162
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.572176
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.801023
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.047461
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.313546
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.605591
é(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.925202
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.274193
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.656609
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.077563
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.543028
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06039
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.92314
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.911593
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.901551
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.893001
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.885942
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.880366
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.87627
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.873652
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.872507
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.872835
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.874639
(387.75, 13.57, 254.32) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.877917
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.167345
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.308666
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.458766
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.618433
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.788653
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.970406
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.163856
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.362864
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.576131
(387.75, 13.57, 254.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.805254
