¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¦(390.80, 12.59, 327.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49855
(390.80, 12.59, 327.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65979
(390.80, 12.59, 327.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82774
(390.80, 12.59, 327.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00271
(390.80, 12.59, 327.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24167
(390.80, 12.59, 327.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52414
(390.80, 12.59, 327.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79426
(390.80, 12.59, 327.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03562
(390.80, 12.59, 327.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28896
(390.80, 12.59, 327.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.72075
(390.80, 12.59, 327.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.860572
(390.80, 12.59, 327.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.009701
(390.80, 12.59, 327.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.555487
(390.80, 12.59, 327.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.740661
(390.80, 12.59, 327.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.942812
(390.80, 12.59, 327.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.160672
(390.80, 12.59, 327.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.396134
(390.80, 12.59, 327.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.651278
(390.80, 12.59, 327.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.928729
(390.80, 12.59, 327.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.231472
