¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ê (417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 6.722645
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.568318
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.564945
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.562853
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.562039
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.562502
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 8.564244
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 5.804074
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 5.783301
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 5.763534
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 5.86625
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70732
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.36914
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91381
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51525
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01305
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.28888
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.26445
(417.64, 13.37, 328.50) (426.17, 13.24, 302.53) (8.74, 11.53, 18.04) Truck 11.2418
(417.64, 13.37, 328.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.99577
