¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ê(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.979501
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.250565
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.544739
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.865021
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.214932
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.590188
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.996493
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.444624
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.941341
(381.58, 13.93, 259.55) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 10.28378
(381.58, 13.93, 259.55) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 10.26081
(381.58, 13.93, 259.55) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 10.23947
(381.58, 13.93, 259.55) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 10.21974
(381.58, 13.93, 259.55) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 10.20161
(381.58, 13.93, 259.55) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 10.18505
(381.58, 13.93, 259.55) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 10.17007
(381.58, 13.93, 259.55) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 10.15665
(381.58, 13.93, 259.55) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 10.14477
(381.58, 13.93, 259.55) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 10.13443
(381.58, 13.93, 259.55) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 10.12562
(381.58, 13.93, 259.55) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 10.12798
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.673176
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.274155
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.49525
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.727386
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.977854
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.248784
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.54281
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.862906
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.212637
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.587192
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.993214
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.441021
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.937328
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49034
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11031
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81001
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56633
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39376
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.36069
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43076
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.67583
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.17078
(381.58, 13.93, 259.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.05115
