¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
£(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.840879
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54968
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39316
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35165
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.44111
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.74382
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.10787
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.94566
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.37275
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.75998
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.195998
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.407054
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.634067
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.878963
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.136677
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.389426
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.661954
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.956584
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.276045
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.623586
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.003018
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.409622
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.869269
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57028
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43792
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.42078
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.52318
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84281
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.22047
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.08759
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.56614
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.195027
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.40604
(409.03, 15.05, 308.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.632947
