¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¾(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.052482
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.431407
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.013085
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.133852
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.704538
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.35527
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0419
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07845
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.31259
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.95863
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.49704
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.73083
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.845926
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.947183
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.051496
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.161088
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.288842
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.448661
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.615011
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.782518
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.961245
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.160047
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.378875
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.586559
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.809087
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.059037
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.406815
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.026752
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.166675
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.742082
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.39515
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08818
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.13312
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.37819
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.0415
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.48601
(394.13, 14.40, 309.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.73772
