¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ş(358.55, 7.12, 351.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.71355
(358.55, 7.12, 351.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.48051
(358.55, 7.12, 351.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.20974
(358.55, 7.12, 351.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.37127
(358.55, 7.12, 351.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.57266
(358.55, 7.12, 351.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.08239
(358.55, 7.12, 351.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.74372
(358.55, 7.12, 351.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.13865
(358.55, 7.12, 351.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.24646
(358.55, 7.12, 351.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.3584
(358.55, 7.12, 351.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.47453
(358.55, 7.12, 351.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.59503
(358.55, 7.12, 351.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.72
(359.45, 7.23, 351.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.098734
(359.45, 7.23, 351.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.306099
(359.45, 7.23, 351.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.529113
(359.45, 7.23, 351.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.76952
(359.45, 7.23, 351.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.029398
(359.45, 7.23, 351.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.30445
(359.45, 7.23, 351.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.583012
(359.45, 7.23, 351.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.884819
(359.45, 7.23, 351.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.235812
(359.45, 7.23, 351.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.654709
(359.45, 7.23, 351.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.119916
(359.45, 7.23, 351.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.607945
(359.45, 7.23, 351.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07269
(359.45, 7.23, 351.27) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41604
