¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¢(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.38061
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.10251
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.07993
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.37099
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.287759
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.52616
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.784482
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.065211
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.374032
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.716705
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.085277
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.498444
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.956532
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.460625
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.02678
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.6663
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.42664
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.31658
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.35017
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.53068
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.84501
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.38655
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.11522
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.10666
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.41058
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.288554
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.527019
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.785418
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.066229
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.375876
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.718455
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.087204
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.501821
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.959743
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.464312
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.03089
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.67102
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.43333
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.32438
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.35634
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.53514
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.84928
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.39236
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.12805
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.12642
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.45047
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.289277
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.527802
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.786269
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.067155
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.377587
Ÿ(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.720098
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.089012
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.505012
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.962808
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.467832
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.03482
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.67575
(417.87, 14.69, 315.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.43969
