¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ï(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.19921
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.18158
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.16567
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.15147
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.13897
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.12815
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.11901
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.11154
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.10575
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.10161
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.988992
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.201915
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.431533
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.13696
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.424711
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.737844
(433.09, 14.36, 311.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.079851
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.434278
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.444853
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.456573
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.469448
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.483483
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.498696
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.515093
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.53269
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.551498
(433.09, 14.36, 311.56) (440.48, 7.42, 290.05) (0.56, 0.85, 1.37) Fence 7.574572
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.15108
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.12679
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.10427
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.08348
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.06442
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.04708
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.03143
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.01746
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.00518
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.99456
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.9856
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.97829
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.97263
(433.09, 14.36, 311.56) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.9686
