¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‰(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.317
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.79376
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.29228
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.95325
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.25295
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.50371
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.81382
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.12211
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.366321
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.628129
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.905866
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.222814
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.583609
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.955972
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.365954
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.822449
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.326095
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.874546
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.51593
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.26093
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.12344
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.13557
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.3407
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.79544
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.31136
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.98845
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.11335
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.61555
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.99364
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.126899
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.371522
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.632208
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.910311
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.229959
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.590295
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.960265
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.370897
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.827635
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.330033
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.878977
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.5253
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.27038
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.13612
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.14983
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.35688
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.79624
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.31075
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.02372
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.00732
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.72072
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.13158
»(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.376608
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.636198
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.91466
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.23692
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.594059
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.964422
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.375683
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.832649
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.333836
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.885143
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.5344
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.27956
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.14844
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.16367
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.37257
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.80586
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.31004
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.05907
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.92626
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.81708
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.136155
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.381576
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.640096
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.918909
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.243689
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.597695
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.968433
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.380304
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.837489
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.337496
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.892258
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.54325
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.28846
(334.68, 7.47, 353.16) (337.47, 1.43, 327.07) (0.81, 2.16, 0.81) Human 10.0022
(334.68, 7.47, 353.16) (337.47, 1.43, 327.07) (0.81, 2.16, 0.81) Human 9.955668
(334.68, 7.47, 353.16) (337.47, 1.43, 327.07) (0.81, 2.16, 0.81) Human 9.934844
(334.68, 7.47, 353.16) (337.47, 1.43, 327.07) (0.81, 2.16, 0.81) Human 9.915555
(334.68, 7.47, 353.16) (337.47, 1.43, 327.07) (0.81, 2.16, 0.81) Human 9.897827
(334.68, 7.47, 353.16) (337.47, 1.43, 327.07) (0.81, 2.16, 0.81) Human 9.881646
(334.68, 7.47, 353.16) (337.47, 1.43, 327.07) (0.81, 2.16, 0.81) Human 9.867058
(334.68, 7.47, 353.16) (337.47, 1.43, 327.07) (0.81, 2.16, 0.81) Human 9.853854
(334.68, 7.47, 353.16) (337.47, 1.43, 327.07) (0.81, 2.16, 0.81) Human 9.842243
(334.68, 7.47, 353.16) (337.47, 1.43, 327.07) (0.81, 2.16, 0.81) Human 9.832093
(334.68, 7.47, 353.16) (337.47, 1.43, 327.07) (0.81, 2.16, 0.81) Human 9.823441
(334.68, 7.47, 353.16) (337.47, 1.43, 327.07) (0.81, 2.16, 0.81) Human 9.816257
(334.68, 7.47, 353.16) (337.47, 1.43, 327.07) (0.81, 2.16, 0.81) Human 9.81149
(334.68, 7.47, 353.16) (337.47, 1.43, 327.07) (0.81, 2.16, 0.81) Human 9.862339
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.140619
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.386426
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.643902
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.923059
‹(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.250266
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.601204
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.972307
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.384764
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.842155
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.341019
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.899161
(334.68, 7.47, 353.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.55184
(334.68, 7.47, 353.16) (337.47, 1.43, 327.07) (0.81, 2.16, 0.81) Human 9.936306
(334.68, 7.47, 353.16) (337.47, 1.43, 327.07) (0.81, 2.16, 0.81) Human 9.850411
(334.68, 7.47, 353.16) (337.47, 1.43, 327.07) (0.81, 2.16, 0.81) Human 9.821754
