¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Û(389.11, 13.97, 252.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.758751
(389.11, 13.97, 252.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.091181
(389.11, 13.97, 252.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.454706
(389.11, 13.97, 252.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.85376
(389.11, 13.97, 252.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.294265
(389.11, 13.97, 252.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.786103
(389.11, 13.97, 252.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33455
(389.11, 13.97, 252.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95901
(389.11, 13.97, 252.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67637
(389.11, 13.97, 252.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49628
(389.11, 13.97, 252.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4798
(389.11, 13.97, 252.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.36671
(389.11, 13.97, 252.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.28487
(389.11, 13.97, 252.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.72438
(389.11, 13.97, 252.65) (417.84, 9.03, 256.23) (2.44, 2.61, 2.44) Tools 16.55742
(389.11, 13.97, 252.65) (417.84, 9.03, 256.23) (2.44, 2.61, 2.44) Tools 16.54215
(389.11, 13.97, 252.65) (417.84, 9.03, 256.23) (2.44, 2.61, 2.44) Tools 16.52938
(389.11, 13.97, 252.65) (417.84, 9.03, 256.23) (2.44, 2.61, 2.44) Tools 16.51908
(389.11, 13.97, 252.65) (417.84, 9.03, 256.23) (2.44, 2.61, 2.44) Tools 16.51127
(389.11, 13.97, 252.65) (417.84, 9.03, 256.23) (2.44, 2.61, 2.44) Tools 16.50592
(389.11, 13.97, 252.65) (417.84, 9.03, 256.23) (2.44, 2.61, 2.44) Tools 16.50304
(389.11, 13.97, 252.65) (417.84, 9.03, 256.23) (2.44, 2.61, 2.44) Tools 16.50263
(389.11, 13.97, 252.65) (417.84, 9.03, 256.23) (2.44, 2.61, 2.44) Tools 16.50467
(389.11, 13.97, 252.65) (417.84, 9.03, 256.23) (2.44, 2.61, 2.44) Tools 16.50919
(389.11, 13.97, 252.65) (417.84, 9.03, 256.23) (2.44, 2.61, 2.44) Tools 16.51617
(389.11, 13.97, 252.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.213126
(389.11, 13.97, 252.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.423625
(389.11, 13.97, 252.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.649873
(389.11, 13.97, 252.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.893736
(389.11, 13.97, 252.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.157257
(389.11, 13.97, 252.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.44291
(389.11, 13.97, 252.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.750401
(389.11, 13.97, 252.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.082073
(389.11, 13.97, 252.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.444673
(389.11, 13.97, 252.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.845194
