¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ğ(408.81, 14.08, 246.33) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 19.64872
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.882708
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.079727
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.289452
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.51517
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.758672
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.016104
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.294806
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.596817
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.920853
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.274425
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.675166
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.119415
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.601557
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.13954
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.73519
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.40061
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.14029
(408.81, 14.08, 246.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.97919
