¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
©(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.18954
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.8249
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.461438
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.632176
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.817147
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.016191
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.229199
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.451676
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.691677
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.951324
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.233528
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.542636
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.878618
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.246007
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.647385
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.09756
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.58276
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.14588
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.74538
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.39993
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.13221
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.94975
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.87272
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.91337
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.08366
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.42598
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.01714
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.12464
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.71566
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.462825
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.633657
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.81868
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.017838
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.230616
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.453201
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.693324
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.953107
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.235574
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.544869
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.881058
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.2485
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.650133
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.100657
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.585493
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.14776
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.74662
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.40018
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.13278
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.94871
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.8697
(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.89908
«(400.33, 14.08, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.0643
