¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
› (442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.934069
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.90661
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.880774
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.856539
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.833886
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.812799
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.793262
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.775257
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.758774
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.743795
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.730314
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.71832
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.707801
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.698751
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.691165
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.685033
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.680353
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.677122
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.675337
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.623778
(442.70, 14.31, 261.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.168929
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.22035
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.199003
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.178849
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.159874
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.142062
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.125401
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.109873
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.095473
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.082183
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.069999
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.058907
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.048899
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.03997
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.032111
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.058417
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.885768
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.867591
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.850949
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.835828
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.822217
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.810106
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.799486
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.79035
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.782688
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.776496
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.77177
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.768506
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.766702
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.714654
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.072139
¡ (442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.049905
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.028856
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.008976
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.990248
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.972658
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.956192
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.940839
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.926584
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.913415
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.901327
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.890306
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.880347
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.871441
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.863579
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.078677
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.981541
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.963185
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.946379
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.931109
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.917364
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.905135
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.894409
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.885181
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.877442
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.871189
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.866414
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.863117
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.861294
(442.70, 14.31, 261.37) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.808739
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.910208
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.888292
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.867536
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.847925
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.82944
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.812069
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.795799
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.780617
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.76651
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.753465
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.741477
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.730534
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.720626
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.711751
(442.70, 14.31, 261.37) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.703897
