¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
İ (359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.328266
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.577608
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.848467
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.143704
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.46671
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.821529
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.21304
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.634788
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.094435
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.607671
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.25595
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.98266
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.82211
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.80256
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.96261
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.35637
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.91502
(359.23, 7.20, 351.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.83819
