¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
í(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.21375
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.20196
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.19187
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.18347
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.17674
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.17169
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.16831
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.1666
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.16656
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.16818
(394.23, 13.88, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.515261
(394.23, 13.88, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.7468
(394.23, 13.88, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.996481
(394.23, 13.88, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.26648
(394.23, 13.88, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.559336
(394.23, 13.88, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.878003
(394.23, 13.88, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.184323
(394.23, 13.88, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.512029
(394.23, 13.88, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.776081
(394.23, 13.88, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.058435
(394.23, 13.88, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.361003
(394.23, 13.88, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.68599
(394.23, 13.88, 248.93) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 9.863921
(394.23, 13.88, 248.93) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 9.894657
(394.23, 13.88, 248.93) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 9.92707
(394.23, 13.88, 248.93) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 9.961188
(394.23, 13.88, 248.93) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 9.997039
(394.23, 13.88, 248.93) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 10.03465
(394.23, 13.88, 248.93) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 10.07406
(394.23, 13.88, 248.93) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 10.11529
(394.23, 13.88, 248.93) (412.47, 7.73, 234.06) (1.88, 1.40, 1.43) Tools 11.18327
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.16984
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.1581
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.14804
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.13967
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.13297
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.14272
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.15451
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.168
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.1832
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.20011
(394.23, 13.88, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.516438
(394.23, 13.88, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.748066
(394.23, 13.88, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.997857
(394.23, 13.88, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.267971
(394.23, 13.88, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.560949
(394.23, 13.88, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.879765
(394.23, 13.88, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.184751
(394.23, 13.88, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.513945
(394.23, 13.88, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.797523
(394.23, 13.88, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.081355
 (394.23, 13.88, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.385548
(394.23, 13.88, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.712334
(394.23, 13.88, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21535
(394.23, 13.88, 248.93) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 10.26053
(394.23, 13.88, 248.93) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 10.29626
(394.23, 13.88, 248.93) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 10.33379
(394.23, 13.88, 248.93) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 10.37314
(394.23, 13.88, 248.93) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 10.41436
(394.23, 13.88, 248.93) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 10.45747
(394.23, 13.88, 248.93) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 10.50252
(394.23, 13.88, 248.93) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 10.61981
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.55406
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.55826
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.5642
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.57187
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.58128
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.59244
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.60535
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.62003
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.63649
(394.23, 13.88, 248.93) (412.47, 9.12, 234.06) (1.88, 1.40, 1.43) Tools 11.65473
(394.23, 13.88, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.517601
