°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¶(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.262203
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.559596
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.878185
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22035
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58873
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49597
(328.35, 7.67, 368.47) (347.26, 0.44, 383.37) (0.86, 0.87, 0.86) Tools 11.8418
(328.35, 7.67, 368.47) (347.26, 0.44, 383.37) (0.86, 0.87, 0.86) Tools 11.82416
(328.35, 7.67, 368.47) (347.26, 0.44, 383.37) (0.86, 0.87, 0.86) Tools 11.80833
(328.35, 7.67, 368.47) (347.26, 0.44, 383.37) (0.86, 0.87, 0.86) Tools 11.7943
(328.35, 7.67, 368.47) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.17648
(328.35, 7.67, 368.47) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.1605
(328.35, 7.67, 368.47) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.14681
(328.35, 7.67, 368.47) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.1354
(328.35, 7.67, 368.47) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.12627
(328.35, 7.67, 368.47) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.11941
(328.35, 7.67, 368.47) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.1148
(328.35, 7.67, 368.47) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.11246
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.620785
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.806635
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.006094
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.220716
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.452271
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.702742
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.960964
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.231572
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.552692
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.904931
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.292927
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.722294
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.000879
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.280982
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.579608
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.899637
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24337
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64302
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46773
(328.35, 7.67, 368.47) (347.26, 0.44, 383.37) (0.86, 0.87, 0.86) Tools 11.95337
(328.35, 7.67, 368.47) (347.26, 0.44, 383.37) (0.86, 0.87, 0.86) Tools 11.92786
(328.35, 7.67, 368.47) (347.26, 0.44, 383.37) (0.86, 0.87, 0.86) Tools 11.90424
(328.35, 7.67, 368.47) (347.26, 0.44, 383.37) (0.86, 0.87, 0.86) Tools 11.88247
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.81654
(328.35, 7.67, 368.47) (354.46, 0.82, 382.94) (0.81, 1.64, 0.92) Tools 19.18168
(328.35, 7.67, 368.47) (354.46, 0.82, 382.94) (0.81, 1.64, 0.92) Tools 19.3157
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.627516
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.813819
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.01385
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.229074
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.461265
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.71249
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.970345
õ(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.254693
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.578029
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.932759
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.323641
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.752683
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.020013
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.300522
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.600456
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.921979
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26732
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72661
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44026
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20815
(328.35, 7.67, 368.47) (348.27, 0.43, 382.73) (0.86, 0.87, 0.86) Tools 13.08758
(328.35, 7.67, 368.47) (348.27, 0.43, 382.73) (0.86, 0.87, 0.86) Tools 13.08334
(328.35, 7.67, 368.47) (348.27, 0.43, 382.73) (0.86, 0.87, 0.86) Tools 13.08105
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.94521
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.634277
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.821091
(328.35, 7.67, 368.47) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.021666
